iter	Passed	Remaining
0	49	74007
1	93	70133
2	138	69100
3	180	67473
4	224	67208
5	267	66665
6	311	66405
7	368	68769
8	414	68624
9	459	68523
10	505	68372
11	549	68085
12	592	67779
13	636	67570
14	680	67381
15	724	67235
16	770	67182
17	814	67044
18	859	66996
19	904	66966
20	949	66842
21	993	66728
22	1038	66696
23	1082	66583
24	1125	66426
25	1169	66301
26	1212	66168
27	1256	66077
28	1301	66007
29	1345	65912
30	1390	65884
31	1434	65823
32	1477	65674
33	1520	65565
34	1563	65434
35	1606	65345
36	1650	65272
37	1696	65252
38	1738	65143
39	1781	65042
40	1826	64980
41	1870	64921
42	1915	64909
43	1960	64886
44	2003	64783
45	2047	64725
46	2092	64678
47	2136	64618
48	2180	64577
49	2225	64549
50	2268	64450
51	2323	64709
52	2367	64648
53	2411	64584
54	2454	64496
55	2500	64465
56	2544	64413
57	2587	64326
58	2630	64237
59	2675	64206
60	2717	64099
61	2760	64018
62	2802	63914
63	2847	63883
64	2891	63835
65	2934	63759
66	2979	63727
67	3023	63660
68	3065	63578
69	3108	63507
70	3152	63453
71	3197	63409
72	3241	63361
73	3289	63381
74	3334	63349
75	3379	63325
76	3424	63295
77	3467	63218
78	3510	63148
79	3555	63102
80	3598	63046
81	3643	63004
82	3689	62993
83	3732	62925
84	3775	62855
85	3817	62765
86	3863	62745
87	3905	62665
88	3949	62620
89	3992	62553
90	4051	62729
91	4094	62657
92	4137	62590
93	4178	62504
94	4224	62471
95	4269	62442
96	4315	62414
97	4357	62343
98	4401	62293
99	4446	62245
100	4491	62211
101	4538	62207
102	4583	62164
103	4629	62142
104	4672	62072
105	4715	62012
106	4757	61931
107	4801	61884
108	4846	61850
109	4890	61796
110	4933	61734
111	4975	61665
112	5018	61596
113	5061	61534
114	5104	61473
115	5148	61425
116	5192	61381
117	5238	61347
118	5280	61284
119	5331	61312
120	5376	61275
121	5419	61212
122	5463	61169
123	5505	61097
124	5563	61199
125	5609	61166
126	5652	61114
127	5697	61067
128	5742	61032
129	5785	60971
130	5829	60924
131	5872	60865
132	5916	60810
133	5958	60738
134	6001	60683
135	6045	60635
136	6088	60576
137	6132	60528
138	6177	60484
139	6220	60423
140	6263	60365
141	6308	60327
142	6352	60280
143	6396	60234
144	6441	60198
145	6487	60166
146	6530	60104
147	6582	60133
148	6625	60073
149	6669	60027
150	6712	59969
151	6755	59913
152	6801	59877
153	6845	59828
154	6889	59780
155	6933	59736
156	6977	59688
157	7020	59629
158	7063	59572
159	7107	59527
160	7151	59480
161	7194	59424
162	7238	59374
163	7283	59330
164	7328	59291
165	7374	59265
166	7419	59221
167	7464	59183
168	7507	59124
169	7550	59069
170	7594	59021
171	7638	58975
172	7681	58920
173	7724	58864
174	7770	58834
175	7816	58801
176	7862	58765
177	7905	58715
178	7951	58677
179	7994	58624
180	8036	58567
181	8082	58533
182	8126	58484
183	8170	58438
184	8215	58393
185	8261	58364
186	8304	58306
187	8361	58353
188	8405	58305
189	8453	58285
190	8499	58252
191	8547	58228
192	8592	58185
193	8635	58134
194	8682	58107
195	8727	58063
196	8773	58031
197	8816	57973
198	8859	57923
199	8913	57938
200	8959	57902
201	9003	57853
202	9046	57799
203	9093	57768
204	9138	57728
205	9182	57682
206	9228	57643
207	9273	57601
208	9315	57539
209	9359	57494
210	9403	57446
211	9447	57399
212	9500	57402
213	9543	57351
214	9589	57314
215	9634	57270
216	9679	57227
217	9726	57201
218	9772	57159
219	9817	57120
220	9862	57079
221	9907	57032
222	9952	56991
223	9996	56945
224	10041	56903
225	10085	56856
226	10131	56816
227	10175	56767
228	10219	56720
229	10265	56683
230	10309	56633
231	10353	56586
232	10398	56545
233	10442	56498
234	10486	56450
235	10531	56404
236	10575	56356
237	10621	56322
238	10676	56331
239	10720	56283
240	10766	56244
241	10810	56195
242	10853	56142
243	10898	56101
244	10941	56046
245	10984	55993
246	11028	55947
247	11071	55894
248	11117	55856
249	11161	55805
250	11202	55746
251	11246	55698
252	11292	55657
253	11337	55616
254	11380	55563
255	11436	55575
256	11480	55528
257	11526	55486
258	11569	55434
259	11614	55391
260	11660	55355
261	11706	55315
262	11748	55257
263	11794	55220
264	11837	55167
265	11879	55109
266	11922	55058
267	11966	55010
268	12010	54963
269	12055	54921
270	12098	54869
271	12143	54822
272	12187	54775
273	12229	54722
274	12273	54670
275	12318	54630
276	12360	54575
277	12404	54525
278	12447	54472
279	12491	54426
280	12534	54375
281	12579	54332
282	12623	54287
283	12666	54234
284	12710	54187
285	12756	54147
286	12801	54105
287	12844	54053
288	12888	54007
289	12935	53971
290	12978	53919
291	13022	53874
292	13066	53826
293	13110	53779
294	13152	53724
295	13198	53683
296	13240	53631
297	13286	53589
298	13331	53548
299	13373	53492
300	13419	53455
301	13462	53404
302	13506	53357
303	13551	53312
304	13592	53256
305	13635	53205
306	13677	53150
307	13721	53103
308	13764	53055
309	13808	53007
310	13852	52960
311	13900	52928
312	13948	52896
313	13993	52854
314	14034	52798
315	14080	52758
316	14125	52716
317	14168	52665
318	14214	52623
319	14258	52577
320	14300	52522
321	14343	52473
322	14386	52422
323	14432	52382
324	14476	52338
325	14519	52288
326	14562	52238
327	14607	52194
328	14651	52146
329	14696	52104
330	14740	52058
331	14783	52009
332	14830	51972
333	14873	51924
334	14917	51878
335	14960	51829
336	15004	51779
337	15046	51727
338	15089	51679
339	15134	51635
340	15179	51591
341	15224	51549
342	15270	51508
343	15311	51455
344	15357	51412
345	15401	51369
